book_id,user_id,rating,id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,genres,description,rank
417,1198,5,417,417,417,1,5796550425,9845051053578,"Jennifer Johnson, Emily Brown, Emily Moore",1976.0,The Science of Storytelling,The Science of Storytelling,eng,2.35,6993,6993,699,2097,1748,1398,1048,702,https://example.com/bookcovers/417.jpg,https://example.com/bookcovers/small/417.jpg,"Science Fiction, Non-fiction","This is a fictional description for the book 'The Science of Storytelling' by Jennifer Johnson, Emily Brown, Emily Moore.",0
90,1913,4,90,90,90,1,7134725536,9537103545386,"Michelle Smith, Robert Johnson, John Johnson",1997.0,Snap,Snap,eng,2.12,1489,1489,148,446,372,297,223,151,https://example.com/bookcovers/90.jpg,https://example.com/bookcovers/small/90.jpg,Literary Fiction,"This is a fictional description for the book 'Snap' by Michelle Smith, Robert Johnson, John Johnson.",1
380,1558,3,380,380,380,1,822090507,2025868610439,"Linda Brown, Jennifer Miller",1962.0,The British Constitution,The British Constitution,eng,2.9,632,632,63,189,158,126,94,65,https://example.com/bookcovers/380.jpg,https://example.com/bookcovers/small/380.jpg,"Young Adult, Literary Fiction","This is a fictional description for the book 'The British Constitution' by Linda Brown, Jennifer Miller.",2
259,798,2,259,259,259,1,2832045063,8362037104310,"John Smith, Linda Miller, David Anderson",2014.0,Ninna nanna,Ninna nanna,eng,4.36,8905,8905,890,178,712,1335,3116,3564,https://example.com/bookcovers/259.jpg,https://example.com/bookcovers/small/259.jpg,"Literary Fiction, Biography","This is a fictional description for the book 'Ninna nanna' by John Smith, Linda Miller, David Anderson.",3
246,682,5,246,246,246,1,1057271189,2268825259643,"Linda Wilson, John Anderson, Sarah Wilson",1963.0,The Boyband Murder Mystery,The Boyband Murder Mystery,eng,2.4,5491,5491,549,1647,1372,1098,823,551,https://example.com/bookcovers/246.jpg,https://example.com/bookcovers/small/246.jpg,"Historical Fiction, Romance","This is a fictional description for the book 'The Boyband Murder Mystery' by Linda Wilson, John Anderson, Sarah Wilson.",4
116,1794,3,116,116,116,1,7366310065,4374595624460,"Michelle Anderson, Emily Taylor, Jennifer Thomas",1928.0,Jilted,Jilted,eng,2.66,3181,3181,318,954,795,636,477,319,https://example.com/bookcovers/116.jpg,https://example.com/bookcovers/small/116.jpg,Historical Fiction,"This is a fictional description for the book 'Jilted' by Michelle Anderson, Emily Taylor, Jennifer Thomas.",5
386,1820,5,386,386,386,1,8989715493,780443850007,"Michael Wilson, David Davis",1902.0,India and Israel against Islamic terror,India and Israel against Islamic terror,eng,2.28,4851,4851,485,1455,1212,970,727,487,https://example.com/bookcovers/386.jpg,https://example.com/bookcovers/small/386.jpg,"Young Adult, Biography","This is a fictional description for the book 'India and Israel against Islamic terror' by Michael Wilson, David Davis.",6
459,1689,2,459,459,459,1,4559615282,5649899492470,Jennifer Wilson,1904.0,Ninna nanna,Ninna nanna,eng,3.99,9494,9494,949,474,949,2373,3797,1901,https://example.com/bookcovers/459.jpg,https://example.com/bookcovers/small/459.jpg,"Fantasy, Historical Fiction",This is a fictional description for the book 'Ninna nanna' by Jennifer Wilson.,7
81,1702,3,81,81,81,1,9828376635,9975097723304,"Sarah Brown, Michelle Thomas, David Miller",1985.0,The Abode,The Abode,eng,4.69,3202,3202,320,32,128,320,800,1922,https://example.com/bookcovers/81.jpg,https://example.com/bookcovers/small/81.jpg,Horror,"This is a fictional description for the book 'The Abode' by Sarah Brown, Michelle Thomas, David Miller.",8
377,549,5,377,377,377,1,999500149,6343224868834,David Johnson,1900.0,Economics For Dummies,Economics For Dummies,eng,1.21,7755,7755,775,2326,1938,1551,1163,777,https://example.com/bookcovers/377.jpg,https://example.com/bookcovers/small/377.jpg,"Self-help, Mystery",This is a fictional description for the book 'Economics For Dummies' by David Johnson.,9
342,832,5,342,342,342,1,1684377084,6398117359813,Jennifer Wilson,1938.0,Shelter folks,Shelter folks,eng,4.95,9338,9338,933,93,373,933,2334,5605,https://example.com/bookcovers/342.jpg,https://example.com/bookcovers/small/342.jpg,"Thriller, Historical Fiction",This is a fictional description for the book 'Shelter folks' by Jennifer Wilson.,10
243,921,2,243,243,243,1,4910669341,7890251877734,"James Taylor, Linda Thomas, Emily Davis",1917.0,"The Enlightened Way to Financial Freedom: From Crypto Trading to Private Label, from Startup to Real Estate Investing. The All-in-One Guide to Be Young and Rich","The Enlightened Way to Financial Freedom: From Crypto Trading to Private Label, from Startup to Real Estate Investing. The All-in-One Guide to Be Young and Rich",eng,2.34,7502,7502,750,2250,1875,1500,1125,752,https://example.com/bookcovers/243.jpg,https://example.com/bookcovers/small/243.jpg,"Science Fiction, Literary Fiction","This is a fictional description for the book 'The Enlightened Way to Financial Freedom: From Crypto Trading to Private Label, from Startup to Real Estate Investing. The All-in-One Guide to Be Young and Rich' by James Taylor, Linda Thomas, Emily Davis.",11
363,886,4,363,363,363,1,1567452336,9070298539994,"Michelle Thomas, Linda Miller, Jennifer Davis",1986.0,Alacrity,Alacrity,eng,2.97,1946,1946,194,583,486,389,291,197,https://example.com/bookcovers/363.jpg,https://example.com/bookcovers/small/363.jpg,"Literary Fiction, Horror","This is a fictional description for the book 'Alacrity' by Michelle Thomas, Linda Miller, Jennifer Davis.",12
260,338,4,260,260,260,1,3206937280,9134343186099,"Linda Brown, John Taylor",1977.0,The Holiday Trap,The Holiday Trap,eng,4.2,8141,8141,814,162,651,1221,2849,3258,https://example.com/bookcovers/260.jpg,https://example.com/bookcovers/small/260.jpg,"Science Fiction, Young Adult","This is a fictional description for the book 'The Holiday Trap' by Linda Brown, John Taylor.",13
178,1764,4,178,178,178,1,5251074003,1429616785929,"John Moore, James Johnson",1925.0,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them,eng,3.22,1161,1161,116,116,174,464,290,117,https://example.com/bookcovers/178.jpg,https://example.com/bookcovers/small/178.jpg,"Romance, Young Adult, Thriller","This is a fictional description for the book 'Hunt for the Shadow Wolf: The lost history of wolves in Britain and the myths and stories that surround them' by John Moore, James Johnson.",14
477,1904,4,477,477,477,1,8173953037,9009807685339,"Robert Brown, Michelle Thomas, Sarah Moore",1976.0,Economics For Dummies,Economics For Dummies,eng,2.01,7113,7113,711,2133,1778,1422,1066,714,https://example.com/bookcovers/477.jpg,https://example.com/bookcovers/small/477.jpg,"Romance, Literary Fiction, Biography","This is a fictional description for the book 'Economics For Dummies' by Robert Brown, Michelle Thomas, Sarah Moore.",15
186,1907,5,186,186,186,1,9413417956,2519050863493,"Michelle Wilson, Jennifer Thomas",1999.0,India and Israel against Islamic terror,India and Israel against Islamic terror,eng,1.81,2330,2330,233,699,582,466,349,234,https://example.com/bookcovers/186.jpg,https://example.com/bookcovers/small/186.jpg,"Fantasy, Self-help, Science Fiction","This is a fictional description for the book 'India and Israel against Islamic terror' by Michelle Wilson, Jennifer Thomas.",16
274,1301,3,274,274,274,1,3469068811,8807390036674,"Michelle Taylor, Emily Miller, Jennifer Davis",1948.0,We Are Theologians: Strengthening the People of God,We Are Theologians: Strengthening the People of God,eng,2.02,2271,2271,227,681,567,454,340,229,https://example.com/bookcovers/274.jpg,https://example.com/bookcovers/small/274.jpg,"Young Adult, Historical Fiction, Fantasy","This is a fictional description for the book 'We Are Theologians: Strengthening the People of God' by Michelle Taylor, Emily Miller, Jennifer Davis.",17
220,1781,4,220,220,220,1,1152884862,4984904251443,David Davis,2018.0,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life,eng,3.5,8850,8850,885,442,885,2212,3540,1771,https://example.com/bookcovers/220.jpg,https://example.com/bookcovers/small/220.jpg,Self-help,This is a fictional description for the book 'Notes from a Friend: A Quick and Simple Guide to Taking Control of Your Life' by David Davis.,18
379,1268,4,379,379,379,1,5666625021,5033540934740,"John Davis, Linda Thomas, Michelle Brown",1989.0,Moving Up On Manolos,Moving Up On Manolos,eng,1.69,3868,3868,386,1160,967,773,580,388,https://example.com/bookcovers/379.jpg,https://example.com/bookcovers/small/379.jpg,"Romance, Non-fiction","This is a fictional description for the book 'Moving Up On Manolos' by John Davis, Linda Thomas, Michelle Brown.",19
